internalTaxonId,redlistCategory,systems,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild
232775530,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232775311,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232775023,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232769053,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232768492,Vulnerable,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
232736915,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
232735179,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
232638555,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232638510,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232637624,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
232637243,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
232624976,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232624597,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232610475,Near Threatened,Terrestrial,Indomalayan,,FALSE,FALSE
232609896,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
232594776,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
232594002,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
232593245,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
232590901,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
232590346,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
232589773,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
232589675,Least Concern,Terrestrial,Australasian|Indomalayan,,FALSE,FALSE
230918147,Vulnerable,Terrestrial,Afrotropical|Palearctic,,FALSE,FALSE
230087117,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
230084345,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
230075506,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
230054372,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
230050796,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
230037720,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
230035307,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
230027154,Endangered,Terrestrial|Freshwater (=Inland waters)|Marine,Australasian|Indomalayan|Nearctic|Oceanian|Palearctic,,FALSE,FALSE
230026276,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Afrotropical|Australasian|Indomalayan|Palearctic,,FALSE,FALSE
230025395,Data Deficient,Terrestrial|Marine,Australasian|Oceanian,,FALSE,FALSE
230025085,Critically Endangered,Terrestrial,Afrotropical,,FALSE,FALSE
230024402,Endangered,Terrestrial,Australasian,,FALSE,FALSE
230023167,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
229729606,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
229729434,Vulnerable,Terrestrial,Indomalayan,,FALSE,FALSE
229728866,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
229725407,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
229721104,Near Threatened,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
224258102,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
224257728,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
223138747,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
222915874,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
222761493,Near Threatened,Terrestrial,Palearctic,,FALSE,FALSE
222529945,Data Deficient,Terrestrial|Freshwater (=Inland waters),Indomalayan|Palearctic,,FALSE,FALSE
222350753,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
222337463,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
222289521,Vulnerable,Terrestrial|Freshwater (=Inland waters),Nearctic|Neotropical,,FALSE,FALSE
222269539,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221859605,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan|Palearctic,,FALSE,FALSE
221825874,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
221825120,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
221754684,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221754376,Least Concern,Terrestrial,,,FALSE,FALSE
221753755,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221753106,Least Concern,Terrestrial,,,FALSE,FALSE
221751920,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221740223,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221738646,Least Concern,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
221738246,Least Concern,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
221735459,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221733873,Critically Endangered,Terrestrial,Palearctic,2007,TRUE,FALSE
221732279,Near Threatened,Terrestrial,Palearctic,,FALSE,FALSE
221730864,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221730662,Near Threatened,Terrestrial,Palearctic,,FALSE,FALSE
221725561,Least Concern,Terrestrial,Nearctic|Palearctic,,FALSE,FALSE
221713993,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221713749,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221695743,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221693652,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221687974,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221686398,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221686277,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221684458,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221679815,Least Concern,Terrestrial,Nearctic|Palearctic,,FALSE,FALSE
221679655,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
221611361,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
221496930,Vulnerable,Terrestrial,Indomalayan,,FALSE,FALSE
221496733,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
221496535,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
221202628,Vulnerable,Terrestrial,Palearctic,,FALSE,FALSE
221202039,Vulnerable,Terrestrial,Palearctic,,FALSE,FALSE
220668295,Critically Endangered,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
220531772,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
220531745,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
220531739,Critically Endangered,Terrestrial,Palearctic,,FALSE,FALSE
220531661,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
220531607,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
219747866,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
219709082,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
219592883,Least Concern,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
219592393,Least Concern,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
219591644,Least Concern,Terrestrial|Freshwater (=Inland waters),Afrotropical|Australasian|Indomalayan|Palearctic,,FALSE,FALSE
219591228,Least Concern,Terrestrial|Freshwater (=Inland waters),Australasian,,FALSE,FALSE
219590896,Least Concern,Terrestrial,Nearctic|Neotropical,,FALSE,FALSE
219590798,Least Concern,Terrestrial,Nearctic|Neotropical,,FALSE,FALSE
219590235,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
219590066,Least Concern,Terrestrial|Freshwater (=Inland waters),Australasian,,FALSE,FALSE
219588044,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
219587216,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
219586279,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
219585494,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
219584149,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
219584015,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
219582631,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
219527583,Vulnerable,Terrestrial,Neotropical,,FALSE,FALSE
219452703,Near Threatened,Terrestrial,Palearctic,,FALSE,FALSE
219451656,Least Concern,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
219439775,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
219439767,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218956197,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218954495,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
218921473,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218920484,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218919748,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218918162,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218917968,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218917525,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218641362,Data Deficient,Terrestrial,Afrotropical,,FALSE,FALSE
218364295,Data Deficient,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
218363617,Least Concern,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
218363413,Data Deficient,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
218361332,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
218360733,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
218360290,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
218293375,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
218272979,Vulnerable,Terrestrial,Palearctic,,FALSE,FALSE
218123848,Endangered,Terrestrial,Afrotropical,,FALSE,FALSE
218123787,Vulnerable,Terrestrial,Afrotropical,,FALSE,FALSE
218123692,Vulnerable,Terrestrial,Afrotropical,,FALSE,FALSE
218123578,Vulnerable,Terrestrial,Afrotropical,,FALSE,FALSE
218123396,Endangered,Terrestrial,Afrotropical,,FALSE,FALSE
218123205,Endangered,Terrestrial,Afrotropical,,FALSE,FALSE
217485253,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
217036240,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
217036096,Extinct,Terrestrial,Australasian,1950s,FALSE,FALSE
217035752,Extinct,Terrestrial,Australasian,1930s,FALSE,FALSE
217028937,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
217028576,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
217017930,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
217017716,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan|Palearctic,,FALSE,FALSE
217017330,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
216918911,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
216918900,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
216918514,Critically Endangered,Terrestrial,Neotropical,1929,FALSE,FALSE
216918037,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
216917740,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
216917355,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
216917259,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
216917007,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
216916973,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216915953,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216915934,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216915661,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216915583,Least Concern,Terrestrial,Australasian|Indomalayan,,FALSE,FALSE
216915119,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
216915109,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
216915083,Critically Endangered,Terrestrial,Indomalayan,,FALSE,FALSE
216914903,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216914705,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216914363,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216913021,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
216912703,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
216912644,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
216912582,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
216912565,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
216864496,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
216796753,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
216710576,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216710532,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216710483,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216709698,Least Concern,Terrestrial|Freshwater (=Inland waters),Afrotropical|Palearctic,,FALSE,FALSE
216709635,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
216617275,Critically Endangered,Terrestrial,Afrotropical,,FALSE,FALSE
216559150,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
216558962,Least Concern,Terrestrial,Nearctic|Neotropical,,FALSE,FALSE
216558801,Least Concern,Terrestrial|Marine,Afrotropical|Australasian|Indomalayan|Oceanian,,FALSE,FALSE
216558622,Least Concern,Terrestrial|Marine,Afrotropical|Neotropical,,FALSE,FALSE
216558493,Least Concern,Terrestrial|Freshwater (=Inland waters),Antarctic|Neotropical,,FALSE,FALSE
216557760,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
216557638,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
216557421,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
216557368,Near Threatened,Terrestrial,Indomalayan,,FALSE,FALSE
216557253,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
216557227,Near Threatened,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
216556469,Vulnerable,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
216552569,Least Concern,Terrestrial,Australasian,,FALSE,FALSE
216552510,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
216518463,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
215824818,Data Deficient,Marine,Afrotropical|Australasian|Neotropical,,FALSE,FALSE
215823373,Critically Endangered,Marine,Nearctic,,FALSE,FALSE
215691032,Endangered,Terrestrial,Neotropical,,FALSE,FALSE
215492021,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
215482954,Critically Endangered,Terrestrial,Palearctic,,FALSE,FALSE
215164369,Critically Endangered,Terrestrial|Freshwater (=Inland waters),Nearctic,,FALSE,FALSE
215155811,Least Concern,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
215154989,Near Threatened,Terrestrial,Palearctic,,FALSE,FALSE
214767150,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
214766876,Vulnerable,Terrestrial,Afrotropical,,FALSE,FALSE
214766749,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
214766637,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
214696589,Vulnerable,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
214518902,Least Concern,Terrestrial,Indomalayan|Palearctic,,FALSE,FALSE
214508825,Near Threatened,Terrestrial,Indomalayan,,FALSE,FALSE
213779377,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
213778362,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
213773477,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
213610247,Critically Endangered,Terrestrial|Freshwater (=Inland waters),Neotropical,1986,TRUE,FALSE
213585924,Least Concern,Terrestrial|Freshwater (=Inland waters),Australasian,,FALSE,FALSE
213585900,Least Concern,Terrestrial|Freshwater (=Inland waters),Australasian,,FALSE,FALSE
213585560,Least Concern,Terrestrial|Freshwater (=Inland waters),Australasian,,FALSE,FALSE
213360955,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
212543871,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
212423579,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
212422203,Data Deficient,Terrestrial,Palearctic,,FALSE,FALSE
211837282,Data Deficient,Terrestrial,Indomalayan,,FALSE,FALSE
211837263,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
211837241,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
211837219,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
211836753,Data Deficient,Terrestrial,Indomalayan,,FALSE,FALSE
211836512,Least Concern,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
211836449,Data Deficient,Terrestrial,Indomalayan,,FALSE,FALSE
211836238,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
211835723,Least Concern,Terrestrial,Indomalayan,,FALSE,FALSE
211835520,Data Deficient,Terrestrial,Palearctic,,FALSE,FALSE
211835174,Data Deficient,Terrestrial,Indomalayan,,FALSE,FALSE
211834466,Data Deficient,Terrestrial,Palearctic,,FALSE,FALSE
211757868,Least Concern,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
211754466,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
211754322,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
211150692,Vulnerable,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
211150139,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
211150007,Critically Endangered,Terrestrial,Australasian,,FALSE,FALSE
211146190,Least Concern,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
211143118,Critically Endangered,Terrestrial|Freshwater (=Inland waters),Neotropical,1988,TRUE,FALSE
211141894,Critically Endangered,Terrestrial|Freshwater (=Inland waters),Neotropical,1979,TRUE,FALSE
211141221,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
211140697,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
211139302,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
211138959,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
211137592,Vulnerable,Terrestrial,Neotropical,,FALSE,FALSE
210891841,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
210369485,Vulnerable,Terrestrial,Indomalayan,,FALSE,FALSE
210368667,Endangered,Terrestrial,Afrotropical,,FALSE,FALSE
210364856,Near Threatened,Terrestrial,Afrotropical,,FALSE,FALSE
210363264,Endangered,Terrestrial,Neotropical,,FALSE,FALSE
210079094,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
209696922,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
209674924,Data Deficient,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
209674672,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
209668480,Endangered,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
209667886,Least Concern,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
209366118,Critically Endangered,Terrestrial,Neotropical,,FALSE,FALSE
209086535,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
209039855,Critically Endangered,Terrestrial,Afrotropical,,FALSE,FALSE
208598052,Endangered,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
208597417,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
208372349,Data Deficient,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
208081337,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
207944380,Data Deficient,Terrestrial,Indomalayan,,FALSE,FALSE
207944267,Data Deficient,Terrestrial,Indomalayan,,FALSE,FALSE
207895755,Data Deficient,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
207895742,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
207598021,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
206766457,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
206763352,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
206637450,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
206635758,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
206605010,Vulnerable,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
206511773,Least Concern,Terrestrial,Neotropical,,FALSE,FALSE
205911038,Near Threatened,Terrestrial,,,FALSE,FALSE
205889816,Endangered,Terrestrial,Indomalayan,,FALSE,FALSE
205148014,Data Deficient,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
204900953,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204869148,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204865442,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204843752,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204832724,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204829909,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204784589,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204783735,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204702171,Least Concern,Terrestrial,Palearctic,,FALSE,FALSE
204501027,Critically Endangered,Terrestrial|Freshwater (=Inland waters),Afrotropical,,FALSE,FALSE
204428977,Near Threatened,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
204324284,Vulnerable,Terrestrial,Australasian,,FALSE,FALSE
203516776,Data Deficient,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
203035599,Near Threatened,Terrestrial,Australasian,,FALSE,FALSE
202162704,Least Concern,Terrestrial|Freshwater (=Inland waters),Indomalayan,,FALSE,FALSE
201035128,Least Concern,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
201034106,Endangered,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
201034059,Vulnerable,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
201033770,Endangered,Terrestrial|Freshwater (=Inland waters),Palearctic,,FALSE,FALSE
201029146,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
201028107,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
201027973,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
200998956,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
200996217,Least Concern,Terrestrial|Freshwater (=Inland waters),Australasian,,FALSE,FALSE
200990551,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
200989962,Least Concern,Terrestrial,Afrotropical,,FALSE,FALSE
200972722,Least Concern,Terrestrial|Freshwater (=Inland waters),Australasian|Oceanian,,FALSE,FALSE
200769502,Least Concern,Terrestrial|Freshwater (=Inland waters),Neotropical,,FALSE,FALSE
